from_State,from_Division,from_Latitude,from_Longitude,to_State,to_Division,to_Latitude,to_Longitude,distance_metres,time_minutes
NSW,Blaxland,-33.888,151.000,NSW,Lyne,-31.602,152.277,366938,16972
NSW,Blaxland,-33.888,151.000,NSW,Macarthur,-34.065,150.764,39056,2149
NSW,Blaxland,-33.888,151.000,NSW,Mackellar,-33.669,151.253,41572,3423
NSW,Blaxland,-33.888,151.000,NSW,Macquarie,-33.475,150.642,74223,5434
NSW,Blaxland,-33.888,151.000,NSW,McMahon,-33.837,150.859,17171,1610
NSW,Blaxland,-33.888,151.000,NSW,Mitchell,-33.710,150.960,26553,2467
NSW,Blaxland,-33.888,151.000,NSW,New England,-30.319,151.315,499986,22985
NSW,Blaxland,-33.888,151.000,NSW,Newcastle,-32.841,151.753,176894,8869
NSW,Blaxland,-33.888,151.000,NSW,North Sydney,-33.816,151.184,26806,2332
NSW,Blaxland,-33.888,151.000,NSW,Page,-29.275,152.804,685159,28544
NSW,Blaxland,-33.888,151.000,NSW,Parkes,-30.887,147.373,598070,26166
NSW,Blaxland,-33.888,151.000,NSW,Parramatta,-33.809,151.011,11077,1324
NSW,Blaxland,-33.888,151.000,NSW,Paterson,-32.40694,151.91806,223118,10885
NSW,Blaxland,-33.888,151.000,NSW,Reid,-33.853,151.084,12726,1334
NSW,Blaxland,-33.888,151.000,NSW,Richmond,-28.511,153.363,789695,33271
NSW,Blaxland,-33.888,151.000,NSW,Riverina,-34.427,146.700,494173,18764
NSW,Blaxland,-33.888,151.000,NSW,Robertson,-33.382,151.213,72387,4437
NSW,Blaxland,-33.888,151.000,NSW,Shortland,-33.112,151.617,132276,7132
NSW,Blaxland,-33.888,151.000,NSW,Sydney,-33.895,151.200,32742,2312
NSW,Blaxland,-33.888,151.000,NSW,Warringah,-39.076120,125.816959,NONE,NONE
NSW,Blaxland,-33.888,151.000,NSW,Watson,-33.908,151.077,9423,1052
NSW,Blaxland,-33.888,151.000,NSW,Wentworth,-33.883,151.253,37447,2575
NSW,Blaxland,-33.888,151.000,NSW,Werriwa,-33.981,150.843,21431,1856
NSW,Blaxland,-33.888,151.000,NSW,Whitlam,-34.534,150.552,110897,5206
NSW,Blaxland,-33.888,151.000,NSW,Sydney Airport,-33.940248,151.175186,24883,1762
NSW,Bradfield,-33.732,151.146,NSW,Calare,-33.306,148.922,279322,13433
NSW,Bradfield,-33.732,151.146,NSW,Chifley,-33.735,150.838,38434,1955
NSW,Bradfield,-33.732,151.146,NSW,Cook,-34.031,151.100,48212,3010
NSW,Bradfield,-33.732,151.146,NSW,Cowper,-30.384,152.870,506259,19319
NSW,Bradfield,-33.732,151.146,NSW,Cunningham,-34.259,150.916,75122,5138
NSW,Bradfield,-33.732,151.146,NSW,Dobell,-33.248,151.366,80712,3746
NSW,Bradfield,-33.732,151.146,NSW,Eden-Monaro,-36.292,149.344,452051,18453
NSW,Bradfield,-33.732,151.146,NSW,Farrer,-32.501,143.311,1003418,42213
NSW,Bradfield,-33.732,151.146,NSW,Fowler,-33.900,150.877,58481,2820
NSW,Bradfield,-33.732,151.146,NSW,Gilmore,-35.067,150.398,202847,10410
NSW,Bradfield,-33.732,151.146,NSW,Grayndler,-33.897,151.148,31089,2111
NSW,Bradfield,-33.732,151.146,NSW,Greenway,-33.733,150.913,31438,1636
NSW,Bradfield,-33.732,151.146,NSW,Hughes,-33.992,150.975,45541,3603
NSW,Bradfield,-33.732,151.146,NSW,Hume,-34.409,149.045,306179,11979
NSW,Bradfield,-33.732,151.146,NSW,Hunter,-32.375,150.778,233608,9647
NSW,Bradfield,-33.732,151.146,NSW,Kingsford Smith,-33.949,151.231,32730,1907
NSW,Bradfield,-33.732,151.146,NSW,Lindsay,-33.751,150.711,52415,2999
NSW,Bradfield,-33.732,151.146,NSW,Lyne,-31.602,152.277,344575,14898
NSW,Bradfield,-33.732,151.146,NSW,Macarthur,-34.065,150.764,83751,3597
NSW,Bradfield,-33.732,151.146,NSW,Mackellar,-33.669,151.253,15614,1168
NSW,Bradfield,-33.732,151.146,NSW,Macquarie,-33.475,150.642,80775,5346
NSW,Bradfield,-33.732,151.146,NSW,McMahon,-33.837,150.859,50623,2319
